Question,Score,Type,Gap_Type,Target_Article_Title,Target_Article_URL,Target_Article_Path,Recommendation
How to delete a left over load balancer in Azure?,3.0,Procedural,add-section,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Add a section to Troubleshoot Azure Load Balancer covering: How to delete a left over load balancer in Azure?
How do I resolve: Unable to update the Public IP on NAT rules for an existing LoadBalancer?,3.0,Procedural,add-section,Manage Rules How To,https://learn.microsoft.com/azure/load-balancer/manage-rules-how-to,/azure/load-balancer/manage-rules-how-to,Add a section to Manage Azure Load Balancer rules covering: Unable to update the Public IP on NAT rules for an existing LoadBalancer?
"How do I azure LoadBalancer port 443 timing out for YARP service, while 8080 and /health endpoint work fine?",3.0,Procedural,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,"Add a section to Azure Load Balancer overview covering: azure LoadBalancer port 443 timing out for YARP service, while 8080 and /health "
How do I azure Public load balancer packet forwarding to NVA or performing any kind of Source NAT or D-NAT?,3.0,Procedural,add-section,Gateway Overview,https://learn.microsoft.com/azure/load-balancer/gateway-overview,/azure/load-balancer/gateway-overview,Add a section to Azure Gateway Load Balancer overview covering: azure Public load balancer packet forwarding to NVA or performing any kind of So
How do I azure ADDS Inbound NAT Rule upgrade in Load Balancer?,3.0,Procedural,add-section,Upgrade Basic Standard With Powershell,https://learn.microsoft.com/azure/load-balancer/upgrade-basic-standard-with-powershell,/azure/load-balancer/upgrade-basic-standard-with-powershell,Add a section to Upgrade Azure Load Balancer from Basic to Standard covering: azure ADDS Inbound NAT Rule upgrade in Load Balancer?
How to access both VM and blob storage account securely without using Public IPs from the internet?,3.0,Procedural,add-section,Create Private Endpoint Portal,https://learn.microsoft.com/azure/private-link/create-private-endpoint-portal,/azure/private-link/create-private-endpoint-portal,Add a section to Azure Load Balancer documentation covering: How to access both VM and blob storage account securely without using Public IPs
How do I aCI not supported by Azure Load Balancer in the backend Pool?,3.0,Procedural,add-section,Backend Pool Management,https://learn.microsoft.com/azure/load-balancer/backend-pool-management,/azure/load-balancer/backend-pool-management,Add a section to Load Balancer backend pool management covering: aCI not supported by Azure Load Balancer in the backend Pool?
How do I upgrade existing LCS / D365 machines to Standard Public IP SKUs?,3.0,Procedural,add-section,Public Ip Upgrade Portal,https://learn.microsoft.com/azure/virtual-network/ip-services/public-ip-upgrade-portal,/azure/virtual-network/ip-services/public-ip-upgrade-portal,Add a section to Azure Load Balancer documentation covering: upgrade existing LCS / D365 machines to Standard Public IP SKUs?
How do I replacing public IP with hostname for sites which configured using load balancer?,3.0,Procedural,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: replacing public IP with hostname for sites which configured using load balancer
"How do I updating Basic Public IP, Basic Load Balancer attached to Classic Cloud Service?",3.0,Procedural,add-section,Public Ip Upgrade Portal,https://learn.microsoft.com/azure/virtual-network/ip-services/public-ip-upgrade-portal,/azure/virtual-network/ip-services/public-ip-upgrade-portal,"Add a section to Azure Load Balancer documentation covering: updating Basic Public IP, Basic Load Balancer attached to Classic Cloud Service?"
How do I configure Azure to allow inbound traffic to only one port by IP address and the rest to domain name?,3.0,Procedural,add-section,Manage Rules How To,https://learn.microsoft.com/azure/load-balancer/manage-rules-how-to,/azure/load-balancer/manage-rules-how-to,Add a section to Manage Azure Load Balancer rules covering: configure Azure to allow inbound traffic to only one port by IP address and the 
How do I i would like to know if there was a maintenance activity on one of my Azure Load Balancers at a certain time?,3.0,Procedural,add-section,Load Balancer Monitor Log,https://learn.microsoft.com/azure/load-balancer/load-balancer-monitor-log,/azure/load-balancer/load-balancer-monitor-log,Add a section to Azure Load Balancer monitoring and logging covering: i would like to know if there was a maintenance activity on one of my Azure Load
How do I public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp21?,3.0,Procedural,add-section,Gateway Overview,https://learn.microsoft.com/azure/load-balancer/gateway-overview,/azure/load-balancer/gateway-overview,Add a section to Azure Gateway Load Balancer overview covering: public Load balancer Not Passing Traffic To Firewalls For Ports tcp8443 And tcp2
How do I traffic Forwarding from one VM to another VM in Azure?,3.0,Procedural,add-section,Virtual Network Overview,https://learn.microsoft.com/azure/virtual-network/virtual-network-overview,/azure/virtual-network/virtual-network-overview,Add a section to Azure Load Balancer documentation covering: traffic Forwarding from one VM to another VM in Azure?
How do I load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster?,3.0,Procedural,add-section,Upgrade Basic Standard With Powershell,https://learn.microsoft.com/azure/load-balancer/upgrade-basic-standard-with-powershell,/azure/load-balancer/upgrade-basic-standard-with-powershell,Add a section to Upgrade Azure Load Balancer from Basic to Standard covering: load Balancer and Public IP Upgrade from Basic to Standard - With Fabric Cluster
How do I basic LoadBalancer Upgrade - no outbound rule created?,3.0,Procedural,add-section,Upgrade Basic Standard With Powershell,https://learn.microsoft.com/azure/load-balancer/upgrade-basic-standard-with-powershell,/azure/load-balancer/upgrade-basic-standard-with-powershell,Add a section to Upgrade Azure Load Balancer from Basic to Standard covering: basic LoadBalancer Upgrade - no outbound rule created?
What is Internal Load balancer DNS resolution?,3.0,Conceptual,add-section,Internal Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/internal-load-balancer-overview,/azure/load-balancer/internal-load-balancer-overview,Add a section to Internal Load Balancer overview covering: Internal Load balancer DNS resolution?
What is Load Balancing On Premises VMs into Azure?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: Load Balancing On Premises VMs into Azure?
What is Load Balancer Degraded for 3 days?,3.0,Conceptual,add-section,Load Balancer Standard Diagnostics,https://learn.microsoft.com/azure/load-balancer/load-balancer-standard-diagnostics,/azure/load-balancer/load-balancer-standard-diagnostics,Add a section to Azure Load Balancer metrics and diagnostics covering: Load Balancer Degraded for 3 days?
How can I preserve or use the Azure Internal Load Balancer frontend IP for outbound or return traffic from its backend VMs?,3.0,Conceptual,add-section,Internal Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/internal-load-balancer-overview,/azure/load-balancer/internal-load-balancer-overview,Add a section to Internal Load Balancer overview covering: How can I preserve or use the Azure Internal Load Balancer frontend IP for outbo
What is Range of ports to be open?,3.0,Conceptual,add-section,Load Balancer Custom Probe Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-custom-probe-overview,/azure/load-balancer/load-balancer-custom-probe-overview,Add a section to Azure Load Balancer documentation covering: Range of ports to be open?
AKS public LB NSG rule: can we restrict to LB IP? Why do we need a broad manual allow?,3.0,Conceptual,add-section,Configure Load Balancer Standard,https://learn.microsoft.com/azure/aks/configure-load-balancer-standard,/azure/aks/configure-load-balancer-standard,Add a section to Configure a public standard load balancer in AKS covering: AKS public LB NSG rule: can we restrict to LB IP? Why do we need a broad manual 
can not delete load balancer?,3.0,Conceptual,add-section,Troubleshoot Load Balancer,https://learn.microsoft.com/azure/load-balancer/troubleshoot-load-balancer,/azure/load-balancer/troubleshoot-load-balancer,Add a section to Troubleshoot Azure Load Balancer covering: can not delete load balancer?
What is Load balancer degraded health?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: Load balancer degraded health?
Must the Gateway Load Balancer Frontend IP be in its own subnet?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: Must the Gateway Load Balancer Frontend IP be in its own subnet?
What is explanation of this part - load balancer?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: explanation of this part - load balancer?
where is a azure loadbalancer's zone?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: where is a azure loadbalancer's zone?
where is the zone of public load balancer?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: where is the zone of public load balancer?
What is Azure LoadBalancer blocks a local vnet connections?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: Azure LoadBalancer blocks a local vnet connections?
What happens to Basic Azure Load Balancers after September 2025?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: What happens to Basic Azure Load Balancers after September 2025?
Can a backend pool VM connect to it's load balancer URL?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: Can a backend pool VM connect to it's load balancer URL?
Do i need azure VM for azure load balancer?,3.0,Conceptual,add-section,Load Balancer Overview,https://learn.microsoft.com/azure/load-balancer/load-balancer-overview,/azure/load-balancer/load-balancer-overview,Add a section to Azure Load Balancer overview covering: Do i need azure VM for azure load balancer?
